id,start_frame,end_frame,N_separate_frames,N_time_span_frames,time_span,mean_speed,stdev_speed,min_speed,max_speed,median_speed,iqr_speed,mean_area,stdev_area,min_area,max_area,median_area,iqr_area
1,0,12,13,12,720,0.01714344333077689,0.007226123595592388,0.0068048794198933395,0.029535118516188636,0.014088893956364435,0.012142947884500222,244.3846153846154,9.186431981154527,228,261,243.0,14.0
2,0,12,13,12,720,0.04320610323736496,0.023708949775048078,0.014202184596143447,0.0776933207080468,0.037780510174374865,0.04832305530157103,251.76923076923077,17.138143899832354,222,283,252.0,22.0
5,0,12,13,12,720,0.03879579384629592,0.019239749616274286,0.00869044975051307,0.07935588268820139,0.0343659348022029,0.020647513512727925,285.9230769230769,10.469454018984052,269,302,287.0,15.0
6,0,12,13,12,720,0.037823349493280554,0.020340493759780774,0.009528953905499463,0.08069941997934311,0.035120398090116564,0.028745140612357965,236.53846153846155,7.591649102446356,222,248,239.0,11.0
7,0,12,13,12,720,0.0362826896065344,0.013769726406770183,0.008908860010297349,0.0547288111467208,0.04076274686589254,0.017760268182829175,232.76923076923077,6.7156974109898915,215,243,233.0,6.0
8,0,12,13,12,720,0.1062483474584172,0.049109742377198604,0.04592775894678967,0.19595753611488462,0.09809047398174062,0.08172585344777633,233.75,7.247125867082297,223,249,235.0,11.25
10,0,12,13,12,720,0.019984974337557904,0.00803847348367236,0.007081256609334229,0.031830056295754985,0.022872789092677093,0.011274084504546875,307.2307692307692,4.676518201098666,298,315,308.0,4.0
12,0,12,13,12,720,0.016446651362688382,0.0057464205073426994,0.0070982756092331884,0.02440760021541733,0.015192744261175941,0.010726083092920197,211.15384615384616,6.926494882763341,200,225,211.0,8.0
13,0,12,13,12,720,0.04560570879870912,0.022757564775002983,0.007930227027862976,0.08860020826529867,0.047352543424247856,0.035859507409783456,252.23076923076923,16.130019057425176,222,276,250.0,23.0
14,0,12,13,12,720,0.039822448082441675,0.022312395412031415,0.004879506267362416,0.07444037314887335,0.034014149094941576,0.03771486679690058,160.84615384615384,37.75191519104317,69,220,168.0,35.0
15,0,12,13,12,720,0.036107566909734164,0.019090333640313345,0.0020789448005610793,0.0651987916185142,0.03616676463947359,0.0278872344474228,233.3846153846154,11.418867393239081,204,253,235.0,9.0
16,0,12,13,12,720,0.045397170885687683,0.022557591021476423,0.007545628307320442,0.07153248697708434,0.049632009428233745,0.03798913841766871,221.69230769230768,8.90448992522325,214,248,218.0,10.0
17,0,12,13,12,720,0.02938584884649663,0.01562808916786906,0.0060192632394925295,0.05406021008438926,0.025625373717954494,0.01916240122087269,200.69230769230768,7.096961596720489,190,215,199.0,7.0
18,0,12,13,12,720,0.032995201768604925,0.013200223836642292,0.016191999671954078,0.05993057567844693,0.030223713226264944,0.02302076814856315,155.84615384615384,10.596415604752346,141,178,153.0,13.0
19,0,12,13,12,720,0.04099700937954812,0.025038490781305118,0.01384092944767966,0.09820341488421837,0.035095339544199064,0.033339759166457844,238.66666666666666,29.741478704925814,172,282,243.5,30.75
20,0,12,13,12,720,0.025047103149345145,0.010674478307725978,0.01196621192964011,0.04325852159249754,0.023047079287042836,0.015034767052106913,304.61538461538464,14.762418300632191,273,323,305.0,20.0
22,0,12,13,12,720,0.029391493061637252,0.02099142718418211,0.004399475746513475,0.06677624982299286,0.021796355744136627,0.026427167150116025,190.84615384615384,7.694615038565345,177,206,189.0,9.0
23,0,12,13,12,720,0.03009211163857604,0.01139250675783948,0.01646382173856326,0.048534928490103976,0.02692537864650335,0.01963561099095749,263.0,8.421583991333039,249,280,263.0,10.0
24,0,12,13,12,720,0.016187799823628845,0.00953703591628647,0.00381686981637763,0.03270646518646774,0.012055535673370357,0.017093166149179956,180.84615384615384,5.3327169269036965,174,191,179.0,8.0
25,0,12,13,12,720,0.025753801336195245,0.012770048549706791,0.004656499534967479,0.048985956659911754,0.023615380951272087,0.01854844833497127,327.61538461538464,17.834877073775598,300,366,325.0,28.0
26,0,12,13,12,720,0.12335178178909152,0.06907098737936308,0.019385532722186516,0.20964311091911098,0.14525350866375936,0.13025772256107712,257.77777777777777,6.2499382713001035,248,268,257.0,7.0
27,0,12,13,12,720,0.05213239796205806,0.022437428161645106,0.01387404521746614,0.09037934322962836,0.05719036366029579,0.019621846908101558,235.53846153846155,13.153621230645571,221,272,231.0,10.0
28,0,12,13,12,720,0.02400778886215856,0.01237530199950326,0.007655770421341859,0.04619489599182738,0.022526443364742004,0.020264136846717826,174.30769230769232,11.68420772064463,151,186,179.0,15.0
29,0,12,13,12,720,0.03211572406879442,0.014224658155310606,0.0054489777045508446,0.05011035480630008,0.03747019326310447,0.023161874189218896,154.76923076923077,9.382092977531892,140,170,152.0,13.0
30,0,12,13,12,720,0.030297511095935856,0.013726472430552231,0.003682050339982936,0.05021267121572806,0.03238583796206594,0.02018632200804474,233.92307692307693,10.75218431090266,220,257,232.0,13.0
31,0,12,12,12,720,0.05375739664190965,0.0448723540482184,0.006457681733786437,0.1236009197488867,0.03974861979552654,0.08197364501397361,194.7,19.02656038279121,167,225,191.0,32.5
33,0,12,13,12,720,0.020636241410315313,0.009560719213195627,0.008812236748663441,0.03802823642685341,0.016887781025333788,0.015199131111269908,172.84615384615384,3.919304370109845,167,182,172.0,6.0
34,0,12,13,12,720,0.02645293588864839,0.014252959552601854,0.005591725099034967,0.053489423111144276,0.024748982454514363,0.016891922859745997,128.76923076923077,30.367375829875378,90,189,126.0,48.0
35,0,12,13,12,720,0.05949414369641421,0.02401359930828143,0.02187789041285343,0.09571990255080065,0.0591026597682905,0.031705716046369244,231.15384615384616,9.90606771200323,213,255,232.0,10.0
38,0,12,13,12,720,0.03641257666726385,0.020932444154177346,0.009750957674602434,0.0798538127931078,0.029903572429909084,0.02424454297328857,209.76923076923077,6.178795577853293,202,219,208.0,11.0
39,0,12,13,12,720,0.03380361601243619,0.013413539477954041,0.012646775302650145,0.055646815186465415,0.03261545866452373,0.017986905445694104,177.46153846153845,7.702301200743986,164,191,178.0,7.0
40,0,12,13,12,720,0.029863437263518932,0.01445928028332986,0.007816445922183009,0.053758704380171767,0.028088947753692688,0.021544148981663933,296.0,23.64480752886187,245,330,300.0,21.0
41,0,12,13,12,720,0.028655077966049356,0.02347196073993171,0.003760008471338873,0.07549267426940182,0.02311073298442093,0.023373610357337565,121.53846153846153,14.393456764555765,81,146,123.0,8.0
42,0,12,13,12,720,0.012639443419440876,0.009415726573121149,0.002131907113979126,0.030070518419921508,0.008745891896547165,0.016265527589654317,132.15384615384616,13.971653466634361,98,164,131.0,9.0
43,0,12,13,12,720,0.039239344844079364,0.019081124835747528,0.007917403310853966,0.06726468196991421,0.04372510699963166,0.02488633007706713,235.23076923076923,12.172818687259719,216,254,231.0,18.0
44,0,12,13,12,720,0.029852843561863674,0.02006837791857835,0.00907723514817192,0.07017709321118475,0.027444105432704723,0.03141720388252401,266.61538461538464,10.126419836162475,250,283,265.0,9.0
45,0,12,13,12,720,0.046406301776861246,0.025221806006268433,0.003904936943526068,0.08527050729302776,0.050726790609832394,0.031472346157971655,222.6153846153846,17.251704315085743,206,255,214.0,27.0
47,0,12,13,12,720,0.04855928036460324,0.0260632446862156,0.015214282936000838,0.0878826908019696,0.05061482799630878,0.05155153809401699,214.15384615384616,6.791920016813575,201,225,215.0,8.0
48,0,12,13,12,720,0.030770670991930694,0.017047060013668187,0.0020356823033837648,0.053993871826274006,0.03092856628526821,0.025196547518694615,284.61538461538464,9.833525555571155,272,308,282.0,10.0
50,0,12,13,12,720,0.0323404894451745,0.016599935643422523,0.00937574535190133,0.06504251108241071,0.03102662510468139,0.028782144117927073,203.23076923076923,4.963774093815902,194,211,203.0,6.0
51,0,12,13,12,720,0.045310452425045354,0.0191256303440009,0.006602184883077256,0.0752875227778785,0.04271225593050266,0.028915115501118138,239.92307692307693,8.137865326423503,228,255,239.0,12.0
52,0,12,13,12,720,0.030110176230424886,0.015420065147576073,0.0017850810982438002,0.053599244780705914,0.027976318414698453,0.024076355397061044,249.53846153846155,8.353860320146651,231,262,248.0,10.0
53,0,12,13,12,720,0.0532197344848159,0.03133843527696971,0.0126573553227719,0.1090777295026056,0.04118689388368349,0.056958789029712124,309.2307692307692,26.309266709524604,247,339,312.0,26.0
54,0,12,13,12,720,0.01667096562689416,0.008533127167005102,0.008959467580434793,0.03429377701483287,0.011822268140464434,0.009655104742787838,183.76923076923077,4.491938867894286,177,191,183.0,8.0
55,0,12,13,12,720,0.032089527488424606,0.016741086984168256,0.011903986456086861,0.06310375941927614,0.028915545897330613,0.03050167642679863,227.53846153846155,14.008872927900343,207,248,231.0,24.0
