label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,979.0,1260.0,1001.0,979.0,37.21163602721726,0.4330952057396479,35.30582833323309,1,0.776984126984127,38.47076812334269,0.16021963843374998,0.0002749433459665168,8.895401026847088e-06,2.4818244303261568e-08,-1.1623397545261534e-14,-3.8958790713163867e-10,9.368968987814794e-16,114.5685424949238,111.2993063281984,0.978021978021978
2,741.0,957.0,762.0,741.0,33.2021142192305,0.5142014199337356,30.71596494738128,1,0.774294670846395,34.20526275297414,0.16137719170317466,0.0006043933289327239,3.0244165539375353e-05,2.3495858444429348e-07,6.557318794537773e-14,3.1104122110131225e-10,-6.228945917485504e-13,99.49747468305833,97.01103808311403,0.9724409448818898
3,560.0,690.0,576.0,560.0,30.351147763623324,0.6287749766251565,26.702324712498182,1,0.8115942028985508,31.04834939252005,0.1649758564139942,0.001652210797127806,5.916421866526231e-05,9.758833556095936e-07,-7.23812419910819e-12,-3.755810143574375e-08,-1.6111025918414063e-12,86.76955262170048,84.94421130710883,0.9722222222222222
4,584.0,806.0,608.0,584.0,30.447616576467617,0.5930523905908329,27.26851470332286,1,0.7245657568238213,31.400636936215164,0.16353363794994819,0.001217642482402785,3.818768627702583e-05,4.438884704499775e-07,1.1553488255709928e-12,1.1734189028555617e-08,-1.4160357880238344e-12,90.08326112068524,88.08580396069863,0.9605263157894737
5,1131.0,1480.0,1158.0,1131.0,40.79634968504803,0.49299894822653934,37.94777892176918,1,0.7641891891891892,42.15447781671598,0.16159202733274225,0.000499693866266066,7.336469579094036e-05,4.169063961510692e-07,1.3638459453217873e-13,4.69584239894945e-10,-2.301655363215424e-12,124.22539674441617,120.45457824674146,0.9766839378238342
6,530.0,720.0,555.0,530.0,29.97786650205209,0.656425528164373,25.977239243415305,1,0.7361111111111112,30.463092423455635,0.16628678707926678,0.002085225511526812,4.468718519320024e-05,7.708432547381963e-07,-3.8663397994180685e-12,-2.9801241316113732e-08,-2.3494022403370592e-12,86.42640687119284,84.61888873596669,0.954954954954955
7,326.0,420.0,338.0,326.0,23.0730950514709,0.6182804501827797,20.37341629633241,1,0.7761904761904762,24.186773244895647,0.16511250830399465,0.0015222651788598265,0.00010970675048084092,1.9590658743002127e-06,1.992815937300902e-11,2.87983067854303e-08,2.0681607618740162e-11,65.698484809835,64.96758636821333,0.9644970414201184
8,523.0,702.0,537.0,523.0,29.289528440335435,0.6013680990922442,25.805121233904135,1,0.7450142450142451,30.23243291566195,0.16796216818170506,0.0013745727196934666,0.00048441636192940874,4.984490275423971e-06,-6.06911478190495e-12,-6.2573511255759006e-09,2.448539766059775e-10,85.59797974644665,83.83349057256923,0.9739292364990689
9,800.0,1122.0,823.0,800.0,38.71203635807491,0.7242731202177655,31.915382432114615,1,0.7130124777183601,39.11521443121589,0.172742904296875,0.003772016633356817,0.00023712381413567774,6.671776338097015e-06,-2.6535105114115536e-10,-4.0968596916008383e-07,-3.0661657707086803e-12,106.5685424949238,103.71483073645024,0.9720534629404617
10,854.0,1152.0,881.0,854.0,37.965921790836475,0.6554114577461413,32.97493853222215,1,0.7413194444444444,38.948684188300895,0.16566479864749725,0.0020534125203882513,3.236443824811322e-06,4.7298540525216925e-08,-1.848264035421074e-14,-2.1395561145799703e-09,-9.23656857333435e-16,109.1543289325507,106.16631000165707,0.9693530079455165
