label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,819.0,1050.0,845.0,819.0,35.49751705399333,0.5578377015335569,32.29215364663835,1,0.78,37.57658845611187,0.16239575999311587,0.0008953969037565349,1.3864044520961052e-06,4.939428667747816e-08,8.802543738244283e-15,1.1837167606853046e-09,9.465386584820863e-15,106.08326112068524,103.25475514419493,0.9692307692307692
2,799.0,990.0,823.0,799.0,33.62987547386296,0.43013487200446093,31.895429080722444,1,0.807070707070707,34.88552708502482,0.16056709692505977,0.00026790827354080434,3.7118995513920965e-05,1.312024701684361e-07,-2.3223969777119673e-13,-2.1252085974245536e-09,1.7291362230525056e-13,103.84062043356595,101.12859845013026,0.9708383961117861
3,1086.0,1400.0,1111.0,1086.0,41.13839203753257,0.5661353101784735,37.18518717960671,1,0.7757142857142857,41.78516483155236,0.16357707916129272,0.0009744747852648442,0.0001250446914013301,1.397990520327732e-06,-8.03152584825533e-12,-1.776589577010029e-08,-1.6647577896821225e-11,122.5685424949238,118.88378191994657,0.9774977497749775
4,975.0,1260.0,1004.0,975.0,36.84956004977498,0.4030951256822772,35.233628199729644,1,0.7738095238095238,38.48376280978771,0.15994502941721878,0.00020003694728333465,3.9892892114760385e-06,1.2836568259350183e-08,2.0560579342739073e-15,4.2038600864734655e-11,-2.0519942181713617e-15,115.1543289325507,111.8546666954682,0.9711155378486056
5,616.0,800.0,639.0,616.0,32.32828313315382,0.6552300914591072,28.00563442518059,1,0.77,32.7566787083184,0.16655225276020574,0.0020725475881928366,7.780351349110711e-05,1.4917251264598668e-06,9.710448735735925e-12,4.8589982368441976e-08,-1.2805164070720145e-11,93.01219330881976,90.86260579704759,0.9640062597809077
6,732.0,1023.0,754.0,732.0,35.077423940494526,0.645114497309909,30.52886088189566,1,0.7155425219941349,35.35533905932738,0.16639188432642513,0.001911594822932287,0.00012097902807258391,2.20768137379532e-06,-3.344956899347326e-11,-8.932994659791339e-08,1.3522256176566254e-11,100.5685424949238,98.02647404263914,0.9708222811671088
7,567.0,720.0,586.0,567.0,30.061880018088615,0.5963694382054658,26.86869594648831,1,0.7875,31.04834939252005,0.16380297184513404,0.0012552203821808426,6.609833810379915e-05,6.425509503662865e-07,-4.187183236973823e-12,-2.2584533797779275e-08,-5.290167980048338e-14,87.59797974644667,85.72960947050626,0.9675767918088737
8,948.0,1221.0,976.0,948.0,40.35159850444161,0.668969216343622,34.74235294865525,1,0.7764127764127764,41.88078318274385,0.1666553399952659,0.0023078674866844995,3.5159805661161933e-06,1.1810499231948889e-07,7.290196589921895e-14,5.329144079882963e-09,-2.185419519523483e-14,115.49747468305831,112.17998926661035,0.9713114754098361
9,392.0,483.0,409.0,392.0,24.19293742472203,0.49389142459997465,22.34076770248023,1,0.8115942028985508,26.419689627245813,0.16387522086354325,0.0005181652109784781,0.00017201349951312677,3.3238195568456053e-06,7.741195377685623e-11,6.786090677345042e-08,1.7996260070304325e-11,73.45584412271572,72.32202416383383,0.9584352078239609
10,744.0,972.0,768.0,744.0,37.90564384196887,0.7495069545219195,30.77808020788433,1,0.7654320987654321,38.48376280978771,0.1735985112759322,0.004597612258936229,4.7476872182224024e-05,1.9625456008272743e-06,-2.087825957668326e-12,-4.272523524382801e-08,-1.8828554524434276e-11,103.25483399593904,100.57323808286046,0.96875
11,761.0,1089.0,787.0,761.0,38.08683750624358,0.7357268381779906,31.127725479762553,1,0.6988062442607897,38.8329756778952,0.17378526953807183,0.004158692108097529,0.00021893772499810934,8.24256424421771e-06,-2.387103850668665e-11,-1.4867784171276188e-07,-3.493351054750602e-10,105.1543289325507,102.374072205783,0.9669631512071156
12,732.0,990.0,762.0,732.0,32.64573477134633,0.47528214177103484,30.52886088189566,1,0.7393939393939394,33.95585369269929,0.1614364554824054,0.00042252231432868834,8.76525531266558e-05,3.9430864177509866e-07,1.771439594142642e-12,6.339802082421629e-09,-1.4952264881429535e-12,100.91168824543142,98.35179661378127,0.9606299212598425
