label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,856.0,1120.0,883.0,856.0,34.22245621396153,0.36053537145289377,33.01352829210018,1,0.7642857142857142,35.510561809129406,0.15990922582666486,0.00012355170051306618,2.3336203009868923e-05,3.02146086599632e-08,-1.5966921343303272e-14,-2.0947460833307717e-10,1.971684240623986e-14,108.32590180780451,105.38091183825964,0.9694224235560589
2,654.0,832.0,680.0,654.0,32.51442918216839,0.610530104560332,28.856518540128786,1,0.7860576923076923,33.24154027718932,0.16440295359609136,0.001418199760273591,3.50262662645381e-05,5.903327459153599e-07,-1.7059333586744398e-12,-1.5315665616674928e-08,-2.072589910520614e-12,95.01219330881976,92.75872469498464,0.961764705882353
3,576.0,744.0,595.0,576.0,30.749045425989017,0.626684507625637,27.081100010292303,1,0.7741935483870968,31.575306807693888,0.1648954645269365,0.0016234445307243752,6.0899097815108004e-05,7.687791224822603e-07,-5.04342097560828e-12,-2.799919444125723e-08,-1.4947626269723846e-12,88.42640687119285,86.51500763390372,0.9680672268907563
4,1080.0,1320.0,1105.0,1080.0,45.275106655808045,0.7339354667703576,37.0823233942262,1,0.8181818181818182,45.35416188179427,0.17335090798531733,0.004083024184784303,0.00019711602888938944,6.777347044955273e-06,1.6055689850739348e-10,2.6754920381411344e-07,1.8863644873478575e-10,124.66904755831214,120.87518559289809,0.9773755656108597
5,455.0,552.0,472.0,455.0,25.513044364056366,0.4510557849356732,24.069150231250354,1,0.8242753623188406,26.92582403567252,0.16063204130732206,0.0003309081068151523,6.693971902966289e-06,6.241813346539761e-09,-6.294965035133371e-16,-8.128987642594097e-11,-1.1097707085495632e-15,77.698484809835,76.34429975583558,0.9639830508474576
6,1468.0,2000.0,1524.0,1468.0,49.60833470269381,0.6384934235502598,43.23327019404407,1,0.734,50.80354318352215,0.16683811930918543,0.0018245351357130306,0.00018159795051957652,4.31816805627328e-06,8.69000586485199e-11,1.4650389628815896e-07,8.408610797427063e-11,146.71067811865476,141.7719617163042,0.963254593175853
7,909.0,1188.0,944.0,909.0,35.85789639469406,0.43072371361742195,34.02021084832166,1,0.7651515151515151,37.21558813185679,0.16041214181434046,0.00026900888910020725,1.4628773643767994e-05,4.950600006789706e-08,-3.3833197743062347e-14,-5.42926058458961e-10,2.5104692100468176e-14,112.32590180780451,109.17314963413371,0.9629237288135594
8,1006.0,1326.0,1033.0,1006.0,39.55174404982826,0.5701438527072753,35.78936967876878,1,0.7586726998491704,41.6293165929973,0.16278392944429393,0.000998077837941626,2.5890870304895795e-05,3.594980492327709e-07,1.0783505597332162e-12,1.1338379485759871e-08,2.0019674035856394e-13,117.39696961966997,113.9808233895329,0.9738625363020329
9,568.0,783.0,587.0,568.0,30.78161479932103,0.6397064848103192,26.89237924411993,1,0.7254150702426565,31.064449134018133,0.16585302783897393,0.0018203377384052991,7.238001308517447e-05,6.365000242578414e-07,1.5245086481722879e-12,1.1317492217969238e-08,-4.042309857019715e-12,88.66904755831213,86.74504543003138,0.9676320272572402
10,715.0,891.0,734.0,715.0,33.00319209478787,0.5418029859600296,30.172276587716105,1,0.8024691358024691,33.95585369269929,0.16247229556594317,0.0007811551792974791,7.918954852703861e-05,6.936028046875246e-07,-5.1119363108556296e-12,-1.9361376310127182e-08,5.405722740455108e-13,98.66904755831214,96.22563991971657,0.9741144414168937
