label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,576.0,736.0,594.0,576.0,31.117151618431347,0.6457693635641205,27.081100010292303,1,0.782608695652174,32.2490309931942,0.16631566742320122,0.001919659319504299,0.00012322055229673358,2.0736965634870512e-06,-3.277737799291856e-11,-8.871483409674055e-08,-4.944067769612579e-12,89.01219330881976,87.07036800117352,0.9696969696969697
2,838.0,1036.0,864.0,838.0,37.70684551844031,0.6581741011703954,32.66457926390705,1,0.8088803088803089,37.69615364994153,0.16614675533362475,0.002110162788652397,4.987158978995567e-06,7.226292529139663e-08,7.577230462942812e-16,2.0937243365847813e-10,4.3374417493604054e-14,107.84062043356593,104.92083624600433,0.9699074074074074
3,596.0,702.0,612.0,596.0,29.15543323367421,0.4352062311493089,27.547246117573295,1,0.8490028490028491,31.400636936215164,0.16139653301789114,0.000285053206896653,8.16552976451026e-06,1.3291869296785673e-08,-4.27944720840091e-15,-1.3945387089780903e-10,-9.282502875204625e-16,89.69848480983498,87.72101314345781,0.9738562091503268
4,967.0,1190.0,993.0,967.0,39.73335151268256,0.6164760635193113,35.088782249586586,1,0.8126050420168067,42.01190307520001,0.16529796212055148,0.0015038092716520483,7.037103446498898e-05,5.740554468585298e-07,-8.01018299354542e-13,-1.3504594755911383e-08,-3.559598599183074e-12,116.42640687119285,113.06067220502229,0.973816717019134
5,543.0,750.0,558.0,543.0,32.36011022618032,0.7474425392770242,26.29389801439097,1,0.724,33.1058907144937,0.1737254691287591,0.004534313978859758,7.404382191286516e-05,4.1637524698639974e-06,3.4854136785723294e-11,8.110497236302875e-08,-6.42661481885958e-11,86.66904755831213,84.84892653209434,0.9731182795698925
6,792.0,1023.0,817.0,792.0,34.60212756576127,0.5281317504030091,31.755404570407364,1,0.7741935483870968,35.510561809129406,0.16261503823499251,0.0006945283731389341,0.00011415964411015446,8.599525313978446e-07,-8.485297371244278e-13,-3.6743903366927864e-11,-8.478201511441701e-12,104.08326112068524,101.3586362462579,0.9694002447980417
7,816.0,1056.0,838.0,816.0,37.991737194653844,0.6899946663523955,32.23295624828558,1,0.7727272727272727,39.11521443121589,0.16847161147955916,0.002770251899579744,7.111000326261449e-05,1.6742437727880193e-06,-7.210477771530425e-13,-2.6581933785964196e-08,-1.825386477275454e-11,106.66904755831213,103.81011551146473,0.9737470167064439
8,810.0,1085.0,838.0,810.0,36.050867710402805,0.5961659025699808,32.11423409074988,1,0.7465437788018433,36.138621999185304,0.16492370742942303,0.001270344227400369,9.285841307924115e-05,6.73926294847875e-07,-5.199313962433515e-12,-1.4867086225799951e-08,1.1787216854227405e-12,106.91168824543142,104.04015330759239,0.9665871121718377
9,991.0,1287.0,1015.0,991.0,41.29838863954709,0.6721959849999981,35.52154823248202,1,0.77000777000777,41.88078318274385,0.16652764150232846,0.0023622660574116315,4.261705599285112e-07,9.110891250838902e-09,-4.659066107551791e-16,-4.263893205726323e-10,3.2439987840151303e-16,117.15432893255071,113.75078559340523,0.9763546798029556
10,735.0,962.0,765.0,735.0,37.23429215225727,0.7306336766619977,30.591356056578213,1,0.764033264033264,38.3275357934736,0.17284806563654664,0.00396055919543751,0.00015422281330637882,5.0760387892533266e-06,-1.0584591746430543e-10,-2.6788627349392866e-07,-9.469664952154233e-11,103.25483399593904,100.57323808286044,0.9607843137254902
11,613.0,884.0,645.0,613.0,35.67053019568053,0.7760849564312154,27.937355653723827,1,0.6934389140271493,36.05551275463989,0.1813218723798836,0.006105403971037416,0.00043356092930444827,2.2595610775397052e-05,-3.19845150590356e-10,-4.077897553989534e-07,2.213470992906027e-09,96.08326112068524,93.77416065450976,0.9503875968992248
