label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,843.0,1155.0,870.0,843.0,35.019584798503466,0.4814421009537557,32.7618823667344,1,0.7298701298701299,35.90264614203248,0.1607715248581515,0.00044414534891069755,8.587756019699893e-06,2.271657403045803e-08,8.299516666453316e-15,3.745679411619399e-10,-5.6382540012269474e-15,107.39696961966999,104.50022889984768,0.9689655172413794
2,999.0,1260.0,1025.0,999.0,40.17532669724925,0.6115268964420733,35.66463661935206,1,0.7928571428571428,41.400483088968905,0.1641962423023765,0.0014260310403406771,2.0655971220079513e-05,1.658958276046749e-07,2.391383422892171e-13,3.988192834793613e-09,1.926696859067685e-13,117.49747468305833,114.07610816454738,0.9746341463414634
3,1026.0,1368.0,1054.0,1026.0,38.328496346529484,0.452521680242336,36.14337799512211,1,0.75,39.11521443121589,0.16065524071921203,0.0003358226658704804,3.513245478363812e-05,9.995970060188627e-08,4.9581963025845035e-14,6.900998650010601e-10,-1.8064226066275466e-13,118.22539674441617,114.76622155293033,0.9734345351043643
4,600.0,700.0,621.0,600.0,29.64779103671814,0.46942228716732454,27.63953195770684,1,0.8571428571428571,31.76476034853718,0.162946962962963,0.0004070818302112484,1.2603336973216626e-05,1.6371589959116495e-07,2.348907725721597e-13,2.810726526547503e-09,-1.1424808332349375e-14,91.1126983722081,89.06177167412505,0.966183574879227
5,1603.0,2100.0,1635.0,1603.0,49.99218895281668,0.5592775223744514,45.177461086369895,1,0.7633333333333333,51.19570294468082,0.16440673146903625,0.0009289900516834281,0.00024382654505911822,1.911974431509587e-06,-2.538413065369493e-11,-4.3341853237488465e-08,3.255567636570612e-11,149.53910524340094,144.45347877763868,0.980428134556575
6,561.0,682.0,577.0,561.0,31.06316647966058,0.669713087712789,26.726155439876237,1,0.8225806451612904,31.622776601683793,0.166784624749915,0.00232472910873369,1.871416803631946e-05,5.443790819508925e-07,-2.6402251502510696e-13,-5.423728048705861e-09,-1.7173739934464286e-12,87.35533905932736,85.49957167437861,0.9722703639514731
7,816.0,1024.0,843.0,816.0,32.67833890269758,0.22425980084747252,32.23295624828558,1,0.796875,34.48187929913333,0.15947010314542487,1.6920973122963667e-05,8.213224555093195e-06,8.649402980916501e-10,-3.6799729228879265e-17,2.581802047211648e-13,6.293169622333544e-17,105.25483399593905,102.46935698079749,0.9679715302491103
8,790.0,1122.0,819.0,790.0,38.69861069776012,0.7301569411019827,31.71528401797434,1,0.7040998217468806,39.11521443121589,0.1737943083610019,0.003989810050883675,0.0002752802754816149,9.671481651329722e-06,-1.2825486646043882e-10,-2.5735112063428363e-07,-4.822676654473726e-10,107.15432893255071,104.27019110372004,0.9645909645909646
9,808.0,1044.0,833.0,808.0,35.631056968845826,0.5748945135295084,32.07456238432586,1,0.7739463601532567,36.87817782917155,0.16395004044934441,0.0010534278392754586,0.0001289227402489815,1.417032572874305e-06,-1.2545130952215406e-11,-4.0557595729163943e-08,-1.447249881131053e-11,106.08326112068522,103.25475514419493,0.9699879951980792
10,502.0,675.0,520.0,502.0,30.11375616298593,0.7057781055011444,25.281737508665255,1,0.7437037037037038,30.805843601498726,0.16956671338486945,0.003162896968694896,7.382972004910231e-05,2.030936706877156e-06,1.701645323501253e-11,6.285047917037372e-08,1.8135953579077173e-11,83.59797974644665,81.9373716746322,0.9653846153846154
