label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,1016.0,1332.0,1047.0,1016.0,37.42301311478647,0.37032061294798685,35.96680938658481,1,0.7627627627627628,40.24922359499622,0.1604887693350682,0.00013958513548833525,4.385186620073458e-05,6.370393653497952e-08,9.940424967601762e-14,2.695659265957015e-10,3.8151032950498875e-14,118.5685424949238,115.09154412407247,0.9703915950334289
2,586.0,754.0,605.0,586.0,28.65793735190435,0.39764781451789705,27.315167457198672,1,0.7771883289124668,30.463092423455635,0.16133652519581865,0.00019183989057985584,0.00014266799952579635,1.6359073233770614e-07,-5.546715984329798e-13,-2.1524355245803252e-09,-5.629745980813151e-13,89.01219330881976,87.07036800117353,0.968595041322314
3,497.0,624.0,509.0,497.0,26.34033917349705,0.40943095256181905,25.15551736167189,1,0.7964743589743589,27.51363298439521,0.15987429746305726,0.00021392197324514043,9.542879876112245e-07,2.640644423568577e-09,-2.3372202284157644e-17,-3.087494766346135e-11,1.3048086514067273e-16,80.18376618407356,78.70049424602792,0.9764243614931237
4,658.0,858.0,678.0,658.0,34.3190287350895,0.7006204095742743,28.944630252185586,1,0.7668997668997669,35.4682957019364,0.16883055679338083,0.003015638913619849,4.313398044835958e-05,1.3473618156259358e-06,2.332287266706019e-12,8.44160038803375e-09,-1.0003261568627209e-11,95.25483399593904,92.9887624911123,0.9705014749262537
5,1080.0,1444.0,1109.0,1080.0,38.04231572421607,0.2990925840726597,37.0823233942262,1,0.7479224376731302,39.56008088970496,0.1600099951417467,5.6131013747246e-05,6.158326886742974e-05,5.055327125779685e-08,-4.6865060558139474e-14,-7.884391545275762e-11,-7.589436547951402e-14,121.63961030678928,118.00309898153462,0.9738503155996393
6,498.0,640.0,514.0,498.0,32.521668760624394,0.7938038465454499,25.180812005932435,1,0.778125,33.24154027718932,0.18183496716499392,0.00699592965364218,0.000279988513365714,2.692362956048688e-05,2.3334579618644977e-09,2.251918753245786e-06,-1.3912481683876323e-10,85.35533905932738,83.60345277644159,0.9688715953307393
7,1184.0,1558.0,1220.0,1184.0,42.172999111582335,0.528270181065834,38.826738479640966,1,0.7599486521181001,43.41658669218482,0.16156997185121685,0.00068646589426846,1.8903971226150937e-05,1.4244329986872985e-07,2.3175557538024745e-13,3.6402385605837484e-09,3.042009440177064e-14,128.2253967444162,124.24681604261554,0.9704918032786886
8,575.0,736.0,597.0,575.0,31.52052694161243,0.6744294327744624,27.05758189903005,1,0.78125,32.38826948140329,0.16686618426892413,0.002412927550898986,1.616936260052333e-05,4.129727836526156e-07,-5.499259513058028e-13,-1.239896149769828e-08,-9.145528827791664e-13,89.59797974644665,87.6257283684433,0.9631490787269682
9,877.0,1122.0,894.0,877.0,38.30061827401597,0.646661854754538,33.416030295843605,1,0.7816399286987522,39.20459156782532,0.16536796210384933,0.0019111420184459626,2.4868450848903285e-05,3.634393375999553e-07,-1.0497857814271034e-12,-1.540642058956492e-08,3.029610920402762e-13,108.91168824543142,105.93627220552943,0.9809843400447428
10,724.0,957.0,753.0,724.0,33.50837371366751,0.5669769319374104,30.361578193306386,1,0.7565308254963428,34.0147027033899,0.1626968377497432,0.0009708628027621478,2.3347086289634287e-05,2.689907901409821e-07,-6.712722555454385e-13,-8.379694671057452e-09,6.164788783293993e-14,100.08326112068524,97.56639845038383,0.9614873837981408
