label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,1041.0,1295.0,1069.0,1041.0,38.52701314084903,0.4441280126942483,36.40662530459675,1,0.8038610038610039,40.8166632639171,0.16065548162929127,0.0003089958209818216,1.4302269228198879e-05,8.287536257274554e-08,8.972964864495185e-14,1.3613397805023936e-09,-9.468691053824654e-15,118.91168824543142,115.41686669521462,0.9738072965388214
2,781.0,990.0,803.0,781.0,34.05203658784375,0.5116891471680262,31.534109856442154,1,0.7888888888888889,35.4682957019364,0.16129038169588394,0.0005902760404921951,6.484575164249296e-06,2.730714179236347e-08,8.354299424335707e-16,2.0957791209774204e-10,1.1460519217350876e-14,102.66904755831214,100.01787771559066,0.9726027397260274
3,459.0,598.0,474.0,459.0,27.950599746191035,0.6620584177095484,24.17471718621419,1,0.7675585284280937,29.154759474226502,0.16612739976665977,0.0021741246255278825,3.133483639745502e-05,8.241406710982396e-07,2.509904184561832e-12,1.8168758917880534e-08,-3.3526790856505006e-12,78.76955262170047,77.35973571536067,0.9683544303797469
4,792.0,1020.0,823.0,792.0,35.132305816244354,0.5717090697012064,31.755404570407364,1,0.7764705882352941,36.71511950137164,0.1629681349350819,0.0010135300218913348,2.5524241041320023e-05,1.1240891140150164e-07,-1.8746684930559385e-13,-3.442910860981948e-09,3.3318283678560446e-14,105.25483399593905,102.46935698079749,0.9623329283110571
5,897.0,1200.0,927.0,897.0,39.137908097623956,0.66454911080903,33.79490896018868,1,0.7475,40.44749683231337,0.16632388469100734,0.0022216411450366983,2.922924194660667e-05,6.545843702348787e-07,5.107012460640763e-13,3.842282357349811e-11,2.8173227611907968e-12,112.5685424949238,109.40318743026137,0.9676375404530745
6,524.0,675.0,543.0,524.0,26.67141596325365,0.3309922529526547,25.829779740470595,1,0.7762962962962963,28.231188426986208,0.16040013226777744,8.640782376099608e-05,8.928079031712011e-05,1.1292959291285987e-07,-2.781862068703826e-13,-4.787962993775695e-10,-2.2626261511721438e-13,83.59797974644667,81.93737167463219,0.9650092081031307
7,674.0,918.0,694.0,674.0,36.67310916578041,0.768207717534069,29.294426998176625,1,0.7342047930283224,37.16180835212409,0.1758290454047034,0.005416837781640116,1.7888957900144522e-05,9.084949753560705e-07,3.2211897087098655e-12,5.4514758032477445e-08,1.7429175836900875e-12,98.08326112068524,95.67027955244679,0.9711815561959655
8,496.0,616.0,509.0,496.0,27.96197693050837,0.5875134627268586,25.13019725725687,1,0.8051948051948052,29.120439557122072,0.16303728311140528,0.0011564835647687771,2.3185072916240856e-06,2.846218353469419e-08,-5.149360742452497e-15,-8.271162611749275e-11,5.190581244562918e-15,81.35533905932738,79.81121498056751,0.9744597249508841
9,714.0,1064.0,741.0,714.0,40.66552977548602,0.8338731144303378,30.15116971098976,1,0.6710526315789473,41.23105625617661,0.1888559043104252,0.010131394715623066,6.250180397151595e-05,3.3129804637605312e-06,-3.113405810810111e-11,-2.5570194346733047e-07,3.61027339533245e-11,104.5685424949238,101.81871183851321,0.9635627530364372
10,872.0,1190.0,901.0,872.0,37.21611101660851,0.5940112658852564,33.32063749403756,1,0.7327731092436974,37.8021163428716,0.16351546079035684,0.001226958140100437,3.280367097225214e-05,5.026461006739161e-07,-5.283722808422809e-13,-4.182154631011627e-09,1.9714786591686396e-12,109.9827560572969,106.95170816505453,0.9678135405105438
11,619.0,832.0,643.0,619.0,33.06311460237096,0.6881998417847136,28.07374713484229,1,0.7439903846153846,33.52610922848042,0.16847669652012426,0.0027328264991899587,7.425595107485331e-05,1.8679683893812918e-06,-2.1219592835643564e-11,-9.646954093933113e-08,-5.8071265105910195e-12,93.25483399593905,91.09264359317525,0.9626749611197511
12,316.0,418.0,331.0,316.0,21.483167168142067,0.48863403934120037,20.0585068271871,1,0.7559808612440191,22.80350850198276,0.16077084546050108,0.0004750222707143534,1.8816713899847148e-06,8.80399538508281e-09,9.548357749306287e-16,1.9182575502055325e-10,6.101986427976155e-16,64.52691193458118,63.856865633673735,0.9546827794561934
