label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,1166.0,1520.0,1200.0,1166.0,40.03466761915162,0.37372345613353686,38.530472475187736,1,0.7671052631578947,41.6293165929973,0.15982477167010944,0.00014398235363798897,1.4839867469252461e-05,1.7208626022357466e-08,-8.564825954350987e-15,-1.9411517433139644e-10,1.5064255293881397e-15,126.22539674441617,122.3506971446785,0.9716666666666667
2,1050.0,1332.0,1078.0,1050.0,38.06181393757691,0.3770715206651034,36.56366395715726,1,0.7882882882882883,39.66106403010388,0.16020373264226329,0.00015032606653161124,4.499303291706602e-05,1.1409415287876059e-07,-1.0299706340109315e-13,-6.106774837091476e-10,-2.370992644878231e-13,119.1543289325507,115.64690449134227,0.974025974025974
3,752.0,924.0,777.0,752.0,33.93273846828055,0.551050922210373,30.943111311580196,1,0.8138528138528138,34.92849839314596,0.16233555010315034,0.0008444363640186698,1.18486621135487e-05,6.453686011157286e-08,9.302675641564589e-15,7.512729986624786e-10,5.5662719119852624e-14,101.59797974644664,99.00244175606554,0.9678249678249679
4,543.0,702.0,557.0,543.0,27.868116530749813,0.4500878148892074,26.29389801439097,1,0.7735042735042735,29.068883707497267,0.1606738591736756,0.0003279290336410212,5.252280623287226e-05,1.771120545328346e-07,-1.3732384185360664e-13,-1.1560526571620664e-09,5.224431681299423e-13,84.42640687119285,82.72276983802965,0.9748653500897666
5,537.0,720.0,554.0,537.0,32.03795965345397,0.740150191343174,26.148224328293928,1,0.7458333333333333,33.12099032335839,0.17348230886645968,0.004283021818584108,0.0001627482567275889,7.307385105441292e-06,1.436686736479109e-10,1.8604437201245527e-07,-2.070350093396976e-10,87.01219330881975,85.17424910323648,0.9693140794223827
6,439.0,552.0,453.0,439.0,25.31689524478386,0.4809664299103067,23.642169108157916,1,0.7952898550724637,26.832815729997478,0.16139256107584515,0.0004455863027791388,3.6242299518467526e-05,3.483572352104178e-07,1.2225488915090296e-12,7.216224226151425e-09,-1.936111497714205e-13,76.52691193458118,75.23357902129598,0.9690949227373068
7,640.0,850.0,664.0,640.0,35.03389467443454,0.7437643412075633,28.54598585844434,1,0.7529411764705882,35.4682957019364,0.17341624069213862,0.004396379539674512,7.656672997283694e-05,2.8689596728921415e-06,-1.0739818134799262e-11,-6.093876317158111e-08,-4.1142663651305806e-11,95.84062043356596,93.54412285838208,0.963855421686747
8,561.0,744.0,582.0,561.0,31.756733611925934,0.7036232336415127,26.726155439876237,1,0.7540322580645161,33.24154027718932,0.16908325123164147,0.0030941281855178886,3.638442071588584e-05,7.935550694366754e-07,1.5099807669705429e-12,4.069937691544379e-09,-3.987752293618066e-12,89.25483399593904,87.30040579730118,0.9639175257731959
9,494.0,675.0,509.0,494.0,28.09722353379802,0.6012615781605559,25.079480359432697,1,0.7318518518518519,28.653097563788805,0.16365234126537248,0.0013038077944240484,3.53836161701176e-05,4.668491694949834e-07,1.6599786598295064e-12,1.5728978173949274e-08,-9.190839337520063e-13,81.25483399593904,79.71593020555301,0.9705304518664047
10,799.0,1056.0,816.0,799.0,36.45327248450349,0.6411710946406084,31.895429080722444,1,0.7566287878787878,36.89173349139343,0.1651591902899594,0.0018260316657320533,3.073998010185681e-05,4.831123725905704e-07,-1.7324588612544657e-12,-1.9309985252534847e-08,-6.817198480783137e-13,103.7401153701776,101.03331367511575,0.9791666666666666
11,1204.0,1591.0,1241.0,1204.0,43.03649249027893,0.5567992976656493,39.153293754946546,1,0.7567567567567568,43.93176527297759,0.1624828134116287,0.0008884832627608856,5.22040434011435e-05,4.2047456068200677e-07,-8.560916547662306e-13,-5.850672845150095e-09,1.7742394029172986e-12,129.63961030678928,125.58757457328278,0.9701853344077357
12,718.0,1015.0,743.0,718.0,37.8700649920135,0.7687396679638506,30.23550881198871,1,0.7073891625615764,38.07886552931954,0.17590200404903755,0.005442676419770016,1.784820309071419e-05,9.09171862863795e-07,3.411169247963073e-12,6.08754129955672e-08,1.3330889609793584e-12,101.74011537017762,99.13719477717872,0.9663526244952894
13,696.0,891.0,721.0,696.0,33.67639265523301,0.6202300385046758,29.768686956862464,1,0.7811447811447811,34.539832078341085,0.16450498089985927,0.0015348113323985797,4.849312702615736e-05,8.738060969014603e-07,-2.8840077295189263e-13,-7.414876851210794e-09,-5.680724676254092e-12,97.84062043356595,95.44024175631912,0.9653259361997226
