label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,1042.0,1368.0,1072.0,1042.0,38.3653175779749,0.42058126823636166,36.424107478619696,1,0.7616959064327485,40.22437072223753,0.1609544911514088,0.00024388185626036547,7.095966830856934e-05,1.908415031356062e-07,-2.352342543807543e-14,1.4250776851098727e-09,-7.018935758009505e-13,119.98275605729688,116.43230265473971,0.9720149253731343
2,1140.0,1482.0,1170.0,1140.0,39.115842840681424,0.3144505549076505,38.09846559899868,1,0.7692307692307693,40.718546143004666,0.15947414251618583,6.879716847231333e-05,7.09509171761758e-06,3.4663351325392727e-09,2.64946344363036e-16,4.730595562577474e-12,-4.746701160289321e-16,124.22539674441617,120.45457824674146,0.9743589743589743
3,511.0,648.0,536.0,511.0,27.669694661636814,0.521413884748354,25.507359866510456,1,0.7885802469135802,28.460498941515414,0.16182426647306913,0.0006481358864418342,8.630789242598419e-06,1.374346931609262e-07,-1.4426540111732574e-13,-3.258443321229352e-09,3.9902635905920194e-14,84.18376618407356,82.49273204190199,0.9533582089552238
4,364.0,506.0,382.0,364.0,23.501443760892585,0.5121993374537184,21.528102431092233,1,0.7193675889328063,24.698178070456937,0.16478985971461213,0.0006190011972223692,0.0002566959803317966,6.01377814365495e-06,1.215810409191042e-11,-1.853080599757731e-08,2.3596898914520185e-10,70.76955262170047,69.77526012361251,0.9528795811518325
5,883.0,1156.0,907.0,883.0,38.863827407186214,0.6644987392339996,33.53014342350997,1,0.763840830449827,40.0,0.1666099504287788,0.0022284225666169694,5.8107484371778734e-05,7.921185152148811e-07,-2.140548387079193e-12,-1.8395302501942067e-08,4.92934177422846e-12,110.91168824543142,107.83239110346646,0.9735391400220507
6,573.0,750.0,589.0,573.0,29.534866533550183,0.5331366224916967,27.010484244701136,1,0.764,30.805843601498726,0.16325004571113028,0.0007313830759595935,0.00017894225086193444,7.378798369652308e-07,3.700648047082007e-12,7.40153249025876e-09,7.62859267013843e-12,87.84062043356596,85.95964726663394,0.9728353140916808
7,951.0,1254.0,980.0,951.0,39.505535897932035,0.6278860881695314,34.79728160421644,1,0.7583732057416268,40.718546143004666,0.16470083327811497,0.001635137479428504,2.7587752456149413e-05,7.413898620210933e-07,2.82689484470396e-12,2.5152407998229526e-08,1.803051158070563e-12,114.5685424949238,111.29930632819841,0.9704081632653061
8,701.0,972.0,731.0,701.0,37.951662629455114,0.7754919170844597,29.87542335866304,1,0.7211934156378601,39.0,0.17960604594797072,0.005964256709292232,0.0003139064468735666,1.1377055265898708e-05,-5.369327024931077e-10,-6.849113421064188e-07,4.170935426479403e-10,103.49747468305831,100.8032758789881,0.9589603283173734
9,813.0,1064.0,841.0,813.0,38.76571834735496,0.7191059876805361,32.173649930800316,1,0.7640977443609023,38.63935817272331,0.1713140878816004,0.003568961865722788,9.745127615284937e-05,2.6083707926550667e-06,4.041994415913314e-11,1.5322305075583497e-07,-9.778975391161482e-12,108.66904755831213,105.70623440940176,0.9667063020214031
10,651.0,924.0,677.0,651.0,33.45225410506296,0.6667194824456115,28.79025779013781,1,0.7045454545454546,34.17601498127012,0.16711508996605373,0.0022807211485388773,8.498267896795439e-05,1.786815514571609e-06,-1.4191159893550074e-11,-6.346324161570125e-08,-1.6835044987898612e-11,96.32590180780453,94.0041984506374,0.9615952732644018
11,843.0,1036.0,866.0,843.0,38.010124398062054,0.6664702482478202,32.7618823667344,1,0.8137065637065637,38.48376280978771,0.16665166275499158,0.002263732557338495,2.0724286347715596e-05,4.4453011862369776e-07,7.991760329420013e-13,1.4505681529231377e-08,1.08709986947734e-12,107.84062043356595,104.92083624600433,0.9734411085450346
12,667.0,840.0,690.0,667.0,31.114765286157343,0.46158159765953877,29.14190756176324,1,0.794047619047619,31.906112267087632,0.16210551962116537,0.0003735669339506724,0.00013348809082316834,1.0555116796640402e-06,-1.1149191579159307e-11,-1.5580271308667748e-08,-5.715850452043205e-12,95.59797974644667,93.31408506225443,0.9666666666666667
13,574.0,736.0,595.0,574.0,31.866574742738514,0.6934183073234825,27.034043328329254,1,0.779891304347826,32.55764119219941,0.16797535611715497,0.002826565169672731,1.22497377138964e-05,3.4907499898344126e-07,2.5987826721779964e-13,4.978359103006329e-09,6.73437180805106e-13,89.01219330881975,87.07036800117352,0.9647058823529412
14,733.0,986.0,755.0,733.0,36.17135147978792,0.6964253346312789,30.549706811864404,1,0.7434077079107505,37.16180835212409,0.16901131583398166,0.0029275833899900005,9.731466920519667e-05,3.6272653585700997e-06,6.665631098722262e-11,1.871191029392294e-07,1.4184278367802508e-11,100.91168824543142,98.35179661378127,0.9708609271523179
15,903.0,1140.0,931.0,903.0,39.409051133337556,0.6694776517912614,33.90774703361832,1,0.7921052631578948,39.56008088970496,0.16680915404760283,0.002321201187034325,2.425783702909017e-05,3.944519268512605e-07,1.1830668165457415e-12,1.8680455913619248e-08,-2.9857312788154217e-13,112.08326112068522,108.94311183800605,0.9699248120300752
16,759.0,960.0,773.0,759.0,35.904998489342496,0.66124199661864,31.086794856562303,1,0.790625,37.21558813185679,0.16589759181935415,0.0021544570879822333,7.488365310942895e-07,1.296816606154413e-08,8.682596621144917e-16,3.0470872637200796e-10,-9.376899875879811e-16,100.66904755831213,98.12175881765361,0.981888745148771
17,1081.0,1440.0,1111.0,1081.0,46.90951802814663,0.7801232752109019,37.09948716436268,1,0.7506944444444444,47.75981574503821,0.17702339265768413,0.005995224791174719,1.1867970011060795e-06,7.211905866749429e-08,2.0718398322244417e-14,5.376157001028733e-09,3.9898229982340205e-15,125.39696961966999,121.56529898128103,0.972997299729973
18,637.0,810.0,660.0,637.0,32.31830187011141,0.6237292798751377,28.479002615897535,1,0.7864197530864198,34.132096331752024,0.16509080672540322,0.0015894974283003449,6.453111734688082e-05,1.8110401589000274e-06,1.2538868306778792e-11,2.9700305450163716e-08,-1.503627860494213e-11,94.18376618407356,91.97332653158719,0.9651515151515152
19,898.0,1152.0,924.0,898.0,37.137475865813755,0.5584694684492182,33.813741454801715,1,0.7795138888888888,38.48376280978771,0.1620427724395833,0.000896302550996371,9.595901845401774e-08,2.4972026598603457e-09,-1.1972080707528121e-18,3.20749397745944e-13,3.863805019653805e-17,110.32590180780451,107.27703073619668,0.9718614718614719
