label,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity
1,1068.0,1406.0,1099.0,1068.0,38.490967375015984,0.38938729993150434,36.875735026940866,1,0.7596017069701281,40.496913462633174,0.16025703280858733,0.00017281441462343091,1.0406656008533231e-05,2.5023765881399967e-08,-1.2767650665364261e-14,-2.9363828246440257e-10,-2.3509335472728716e-16,121.39696961966999,117.77306118540697,0.9717925386715196
2,723.0,988.0,751.0,723.0,39.53762772225467,0.8033492008414428,30.340603007249587,1,0.7317813765182186,40.162171256046406,0.18305586369874327,0.007605772581822201,0.00021192453318284637,1.3818274501232146e-05,4.992337198765232e-10,6.136648763206704e-07,5.567173185592104e-10,104.66904755831214,101.9139966135277,0.96271637816245
3,531.0,720.0,548.0,531.0,28.92802905880085,0.5868704591241318,26.001734523957655,1,0.7375,30.59411708155671,0.1630700339072016,0.0011508411171176753,1.3106337501486727e-05,3.4711667940645667e-07,7.256725148668003e-13,1.13979513182868e-08,-1.4683314985162462e-13,84.66904755831213,82.9528076341573,0.968978102189781
4,707.0,928.0,729.0,707.0,33.65307299750005,0.6063482821643291,30.003005818213616,1,0.7618534482758621,34.539832078341085,0.1634259996306721,0.0013549046190464745,3.4425985356696958e-06,4.38392585004028e-08,-7.827766056412738e-15,-7.056675898685963e-10,1.5125414218155675e-14,98.08326112068524,95.67027955244677,0.9698216735253772
5,642.0,837.0,662.0,642.0,33.15842235447734,0.6633866827751942,28.590554169515052,1,0.7670250896057348,34.132096331752024,0.1669684852483334,0.002218872822032496,8.215509999362703e-05,2.2388167050777466e-06,2.2476425147090045e-12,-1.5219005119101644e-08,-3.0279721597550284e-11,94.42640687119285,92.20336432771484,0.9697885196374623
6,910.0,1190.0,932.0,910.0,39.0168247568265,0.6461357864549897,34.03891869182977,1,0.7647058823529411,40.0,0.16545829125590023,0.0019053735104264085,4.085684206969082e-05,5.384706958756513e-07,-1.907071586172859e-12,-1.9683300164928738e-08,-1.6559150564199487e-12,111.7401153701776,108.61778926686392,0.9763948497854077
7,563.0,702.0,578.0,563.0,31.281389608419634,0.6773858335430519,26.77375326109316,1,0.801994301994302,33.015148038438355,0.16741260962439708,0.002484458998626956,2.403278273390545e-05,5.60413163666409e-07,1.5171570979715709e-12,1.1175925965083293e-08,1.3885690672095743e-12,87.94112549695427,86.05493204164841,0.9740484429065744
8,829.0,1155.0,860.0,829.0,38.35767420013091,0.6931832061397105,32.48869930584249,1,0.7177489177489178,39.11521443121589,0.16855043514855783,0.0028408752788379944,4.731358345502617e-05,1.4624484073584486e-06,9.33979412773653e-12,5.231028444381343e-08,-7.794651201313112e-12,108.56854249492379,105.6109496343873,0.963953488372093
9,641.0,896.0,668.0,641.0,33.46754960055652,0.6786643164112086,28.568278705151968,1,0.7154017857142857,33.61547262794322,0.16812235370151563,0.0025302282383009335,6.501330838061826e-05,1.7744767928010958e-06,-1.7372228864381914e-11,-8.051074937281243e-08,-7.839772577339416e-12,96.08326112068522,93.77416065450974,0.9595808383233533
10,513.0,696.0,529.0,513.0,31.768679598507177,0.7531947697725059,25.557227675339483,1,0.7370689655172413,32.64965543462902,0.17616333627757946,0.0048657651699227904,0.0002756219147913449,1.1944118430654641e-05,6.031974650075446e-12,-1.7216201490593633e-07,-6.85284960508871e-10,85.59797974644665,83.83349057256922,0.9697542533081286
11,876.0,1152.0,904.0,876.0,38.51835718427051,0.655995952936665,33.396973533360814,1,0.7604166666666666,39.66106403010388,0.16615736271974785,0.002075044845491443,5.483461814034979e-05,9.464575593130357e-07,-5.342119944664648e-12,-3.709455070002253e-08,4.2369347900559e-12,110.91168824543142,107.83239110346646,0.9690265486725663
12,825.0,1073.0,853.0,825.0,36.675231732900684,0.6198767212385411,32.41022407214287,1,0.7688723205964585,37.656340767525464,0.16464431243565125,0.0015330803351156748,7.509174687959463e-05,1.2631026309205036e-06,1.1079263731590611e-11,4.372216970808562e-08,5.345467670697765e-12,107.49747468305831,104.59551367486219,0.9671746776084408
13,1163.0,1518.0,1193.0,1163.0,46.01665794163209,0.7107780496976689,38.48087304787918,1,0.7661396574440053,46.87216658103186,0.17010299499189319,0.0033051938087784037,8.927808022878329e-05,2.027905779040032e-06,-1.22875774827661e-11,-5.687902431917433e-08,-2.436299769254616e-11,128.8111831820431,124.80217640988535,0.9748533109807209
14,517.0,672.0,534.0,517.0,30.75212095799966,0.71487634055472,25.65667251667837,1,0.7693452380952381,31.304951684997057,0.17022379437847657,0.0034135238468122227,3.051909054122816e-05,9.04840157873394e-07,-3.3658448990008185e-12,-3.5823367233394526e-08,-3.358629459816715e-12,84.18376618407356,82.492732041902,0.9681647940074907
15,59.0,72.0,62.0,59.0,9.21103227186501,0.4695293724828557,8.667244841319219,1,0.8194444444444444,9.848857801796104,0.15993845524615463,0.00039259095536676124,3.467479860363594e-05,2.5352594067638367e-07,-6.613095211213113e-13,-5.023280334313666e-09,3.5736853596181593e-13,25.899494936611667,27.235777959501515,0.9516129032258065
16,1028.0,1280.0,1054.0,1028.0,40.38099851313568,0.5950580620428689,36.17858830838687,1,0.803125,41.43669871020132,0.16317214129964708,0.0012323083584119727,8.739489364771804e-07,2.118515957727663e-09,-7.867487276899996e-17,-7.34275727378827e-11,4.6042225870986784e-17,118.32590180780451,114.86150632794482,0.9753320683111955
17,434.0,598.0,449.0,434.0,28.592375990042356,0.7289500781022632,23.507147049675353,1,0.725752508361204,29.5296461204668,0.172903467529327,0.003913566408524412,0.00022942284355244996,1.009251909719181e-05,3.744066231434586e-10,4.100667830248638e-07,3.093047338660171e-10,78.18376618407358,76.80437534809087,0.9665924276169265
18,782.0,1054.0,798.0,782.0,36.96340485956552,0.6817796919396407,31.554291688816235,1,0.7419354838709677,37.21558813185679,0.1676391702681813,0.002576384326395507,5.2813527569726096e-05,1.1978911431533858e-06,-4.361786276588129e-12,-3.16868194199607e-08,-8.470908813496846e-12,103.1543289325507,100.47795330784595,0.9799498746867168
19,510.0,736.0,535.0,510.0,32.20736461491146,0.7483649689030644,25.482389366284572,1,0.6929347826086957,33.24154027718932,0.18304909876291922,0.005068672621660993,0.001153289808734829,5.893644275264159e-05,9.605379116234196e-09,2.410587486843337e-06,1.1993062696373783e-08,89.59797974644665,87.6257283684433,0.9532710280373832
20,671.0,1056.0,699.0,671.0,40.35446105960222,0.8449046252034185,29.229158977248975,1,0.6354166666666666,39.824615503479755,0.19508665124206326,0.01172497569093208,0.0003208396079187456,1.9609215312133318e-05,-1.0357698847418576e-09,-1.6427190559646114e-06,1.1603289151826685e-09,102.5685424949238,99.92259294057617,0.9599427753934192
21,652.0,868.0,678.0,652.0,32.71861157105853,0.6235092452619265,28.812361638146328,1,0.7511520737327189,34.48187929913333,0.16534130832394503,0.00159153391171538,0.0001169485879294348,2.742596653928567e-06,4.834125465171168e-11,1.0782534991098813e-07,8.700460528177903e-12,95.25483399593905,92.98876249111228,0.9616519174041298
22,477.0,667.0,503.0,477.0,30.567650101164446,0.7485949462143083,24.64417299969047,1,0.7151424287856072,31.016124838541646,0.17625006043185704,0.004707161011633047,0.00022786289669643207,1.0423932203502831e-05,-1.0338119239309952e-10,-1.043811684462791e-07,-4.973938556899675e-10,83.84062043356596,82.16740947075985,0.94831013916501
23,706.0,924.0,724.0,706.0,36.51115161719661,0.7380092947487933,29.98177977677484,1,0.7640692640692641,37.73592452822641,0.17174793575834957,0.0041314270106441115,1.678707232610447e-06,3.9524481272784024e-08,-1.0332361682067737e-15,-9.72618361610753e-10,-1.012834751785599e-14,99.25483399593904,96.78100028698638,0.9751381215469613
24,125.0,180.0,135.0,125.0,14.982679770123154,0.6988238506230211,12.6156626101008,1,0.6944444444444444,15.811388300841896,0.16966758399999998,0.003004476928557055,0.00011314633155813173,1.986260835328454e-06,-2.5864004824504773e-11,-9.441563322427332e-08,1.4754569754816373e-11,41.21320343559643,41.75408400071355,0.9259259259259259
25,437.0,575.0,457.0,437.0,25.626165848514226,0.5230302831812631,23.58825303088947,1,0.76,26.419689627245813,0.1621500790386708,0.0006601445327443793,5.134559355376504e-05,3.61419967208469e-07,-1.3105530286716143e-12,-9.105844188405895e-09,8.405294592327256e-13,76.76955262170047,75.46361681742363,0.9562363238512035
26,619.0,780.0,638.0,619.0,31.17759764896149,0.5817219967972669,28.07374713484229,1,0.7935897435897435,31.78049716414141,0.1630801199539622,0.0011030908289618895,1.105392642775605e-05,8.704653592145969e-08,-5.4788910196852394e-14,-1.915476687581981e-09,-6.548973865683948e-14,91.59797974644667,89.52184726638035,0.9702194357366771
27,817.0,1025.0,861.0,817.0,43.69259837301463,0.832551937182142,32.252700786889584,1,0.7970731707317074,42.720018726587654,0.1908542630290995,0.010246906068816416,9.330023346399994e-05,7.347930128125045e-06,-6.800236778982035e-11,-2.9369293169232494e-07,-1.7997411085190153e-10,112.42640687119285,109.2684344091482,0.9488966318234611
28,1032.0,1230.0,1057.0,1032.0,42.198696859125,0.6716719029813492,36.24890633062862,1,0.8390243902439024,41.97618372363071,0.167035846213343,0.0023671486155647913,5.2615025419858245e-06,9.979733369638595e-08,6.6528623050512146e-15,1.6054774898604593e-09,-7.200914439078002e-14,119.25483399593905,115.74218926635677,0.9763481551561022
29,1448.0,1845.0,1481.0,1448.0,45.28413223570743,0.4367663808443226,42.937755656025104,1,0.7848238482384824,46.32493928760188,0.16013953638268097,0.0002851043995000643,7.627367956136312e-06,2.437597223281937e-08,9.782427697291161e-15,3.747925992234303e-10,-3.844245693005879e-15,139.88225099390857,135.29820685909564,0.9777177582714383
30,1373.0,1710.0,1400.0,1373.0,46.332352706362286,0.5790562870100244,41.81097816269524,1,0.8029239766081872,47.4236228055175,0.1626719055216499,0.001073592577610845,1.1441614510061085e-05,1.668081464343723e-07,2.0743685713365975e-13,5.101455018397478e-09,1.0037628607275024e-13,136.22539674441617,131.8312916343637,0.9807142857142858
31,724.0,936.0,749.0,724.0,36.35140446068589,0.7128238220285212,30.361578193306386,1,0.7735042735042735,37.107950630558946,0.17018386110793032,0.0033596690737724482,8.823090228739259e-05,1.991469612020772e-06,-2.534091517057352e-11,-1.1262178688589963e-07,7.39540248890347e-12,101.49747468305833,98.90715698105106,0.9666221628838452
32,149.0,192.0,156.0,149.0,17.052499142423883,0.7575710258929247,13.773623058786647,1,0.7760416666666666,17.46424919657298,0.17394645443445467,0.004900417344716408,8.294882716638773e-07,2.2098682062508446e-07,7.891738148529018e-14,1.2546231631936381e-08,5.219028924042894e-14,44.384776310850235,44.76092363319018,0.9551282051282052
33,496.0,725.0,527.0,496.0,26.783487979089745,0.36890242169229154,25.13019725725687,1,0.6841379310344827,29.832867780352597,0.16848365717362207,0.0001513251950565671,0.0008705374719225885,1.1402780003943037e-06,2.972001322379329e-11,-1.3080122380904163e-09,2.018425525120771e-11,85.84062043356595,84.0635283686969,0.9411764705882353
