cellId,start_frame,end_frame,N_separate_frames,N_time_span_frames,N_missing_frames,time_span,area_mean,area_std,area_min,area_max,area_median,area_iqr,area_bbox_mean,area_bbox_std,area_bbox_min,area_bbox_max,area_bbox_median,area_bbox_iqr,area_convex_mean,area_convex_std,area_convex_min,area_convex_max,area_convex_median,area_convex_iqr,area_filled_mean,area_filled_std,area_filled_min,area_filled_max,area_filled_median,area_filled_iqr,axis_major_length_mean,axis_major_length_std,axis_major_length_min,axis_major_length_max,axis_major_length_median,axis_major_length_iqr,eccentricity_mean,eccentricity_std,eccentricity_min,eccentricity_max,eccentricity_median,eccentricity_iqr,equivalent_diameter_area_mean,equivalent_diameter_area_std,equivalent_diameter_area_min,equivalent_diameter_area_max,equivalent_diameter_area_median,equivalent_diameter_area_iqr,euler_number_mean,euler_number_std,euler_number_min,euler_number_max,euler_number_median,euler_number_iqr,extent_mean,extent_std,extent_min,extent_max,extent_median,extent_iqr,feret_diameter_max_mean,feret_diameter_max_std,feret_diameter_max_min,feret_diameter_max_max,feret_diameter_max_median,feret_diameter_max_iqr,moments_hu-0_mean,moments_hu-0_std,moments_hu-0_min,moments_hu-0_max,moments_hu-0_median,moments_hu-0_iqr,moments_hu-1_mean,moments_hu-1_std,moments_hu-1_min,moments_hu-1_max,moments_hu-1_median,moments_hu-1_iqr,moments_hu-2_mean,moments_hu-2_std,moments_hu-2_min,moments_hu-2_max,moments_hu-2_median,moments_hu-2_iqr,moments_hu-3_mean,moments_hu-3_std,moments_hu-3_min,moments_hu-3_max,moments_hu-3_median,moments_hu-3_iqr,moments_hu-4_mean,moments_hu-4_std,moments_hu-4_min,moments_hu-4_max,moments_hu-4_median,moments_hu-4_iqr,moments_hu-5_mean,moments_hu-5_std,moments_hu-5_min,moments_hu-5_max,moments_hu-5_median,moments_hu-5_iqr,moments_hu-6_mean,moments_hu-6_std,moments_hu-6_min,moments_hu-6_max,moments_hu-6_median,moments_hu-6_iqr,perimeter_mean,perimeter_std,perimeter_min,perimeter_max,perimeter_median,perimeter_iqr,perimeter_crofton_mean,perimeter_crofton_std,perimeter_crofton_min,perimeter_crofton_max,perimeter_crofton_median,perimeter_crofton_iqr,solidity_mean,solidity_std,solidity_min,solidity_max,solidity_median,solidity_iqr,bbox-0_mean,bbox-0_std,bbox-0_min,bbox-0_max,bbox-0_median,bbox-0_iqr,bbox-1_mean,bbox-1_std,bbox-1_min,bbox-1_max,bbox-1_median,bbox-1_iqr,bbox-2_mean,bbox-2_std,bbox-2_min,bbox-2_max,bbox-2_median,bbox-2_iqr,bbox-3_mean,bbox-3_std,bbox-3_min,bbox-3_max,bbox-3_median,bbox-3_iqr,centroid-0_mean,centroid-0_std,centroid-0_min,centroid-0_max,centroid-0_median,centroid-0_iqr,centroid-1_mean,centroid-1_std,centroid-1_min,centroid-1_max,centroid-1_median,centroid-1_iqr,curvature_mean_mean,curvature_mean_std,curvature_mean_min,curvature_mean_max,curvature_mean_median,curvature_mean_iqr,curvature_std_mean,curvature_std_std,curvature_std_min,curvature_std_max,curvature_std_median,curvature_std_iqr,curvature_min_mean,curvature_min_std,curvature_min_min,curvature_min_max,curvature_min_median,curvature_min_iqr,curvature_max_mean,curvature_max_std,curvature_max_min,curvature_max_max,curvature_max_median,curvature_max_iqr,curvature_frac_below_zero_mean,curvature_frac_below_zero_std,curvature_frac_below_zero_min,curvature_frac_below_zero_max,curvature_frac_below_zero_median,curvature_frac_below_zero_iqr,track_pos0_mean,track_pos0_std,track_pos0_min,track_pos0_max,track_pos0_median,track_pos0_iqr,track_pos1_mean,track_pos1_std,track_pos1_min,track_pos1_max,track_pos1_median,track_pos1_iqr,number_1px_away_mean,number_1px_away_std,number_1px_away_min,number_1px_away_max,number_1px_away_median,number_1px_away_iqr,is_on_edge2_mean,is_on_edge2_std,is_on_edge2_min,is_on_edge2_max,is_on_edge2_median,is_on_edge2_iqr,directionality_ratio_mean,directionality_ratio_std,directionality_ratio_min,directionality_ratio_max,directionality_ratio_median,directionality_ratio_iqr,displacement_norm_from_origin_mean,displacement_norm_from_origin_std,displacement_norm_from_origin_min,displacement_norm_from_origin_max,displacement_norm_from_origin_median,displacement_norm_from_origin_iqr,displacement_norm_from_origin_squared_mean,displacement_norm_from_origin_squared_std,displacement_norm_from_origin_squared_min,displacement_norm_from_origin_squared_max,displacement_norm_from_origin_squared_median,displacement_norm_from_origin_squared_iqr,path_distance_from_origin_mean,path_distance_from_origin_std,path_distance_from_origin_min,path_distance_from_origin_max,path_distance_from_origin_median,path_distance_from_origin_iqr,speed2_mean,speed2_std,speed2_min,speed2_max,speed2_median,speed2_iqr
1,0,3,4,3,0,3,2312.0,99.82234218851008,2145.0,2403.0,2350.0,94.5,2890.25,105.76950174790463,2750.0,3021.0,2895.0,162.25,2355.0,97.99744894638839,2190.0,2443.0,2393.5,86.5,2312.0,99.82234218851008,2145.0,2403.0,2350.0,94.5,60.26142329465134,0.9568329526895588,58.63604783951348,61.0659836819672,60.671830828562335,0.8089695381481619,0.5823605107367844,0.01622841651705805,0.5575703969616999,0.6031132843912824,0.5843791807970778,0.01166352097330181,54.24323681196185,1.1836754576839932,52.25991602994521,55.31360254041131,54.69971433874544,1.1125750629115174,1.0,0.0,1,1,1.0,0.0,0.8001263560134012,0.02616083472515938,0.771267792121814,0.836864406779661,0.7961866125760649,0.04067907252855907,61.249165491897614,1.1356612814296188,59.40538696111658,62.24146527838174,61.67490486404607,1.3900096853015853,0.16312270001510398,0.0005279480753495221,0.1624353722586973,0.1639203679518609,0.16306752992492884,0.00038360100680440157,0.0011191277319229501,0.0001536996270160583,0.000893802324903,0.0013278829104099,0.00112741284618945,0.00011127613847880004,1.5504079744107286e-05,1.0643641310930719e-05,2.670838827950189e-06,2.6241858950415123e-05,1.6551810599031916e-05,1.976110263202781e-05,1.7784726997805787e-07,1.3643501757364997e-07,2.966541580749053e-08,3.762456679766208e-07,1.5273899806406006e-07,2.0223959843110222e-07,-1.7125875540087533e-13,1.5520768676350454e-13,-3.8140981768967273e-13,6.996308752264615e-15,-1.5531075633304658e-13,2.467662439946367e-13,-2.3167747894061163e-09,2.2070000675898637e-09,-5.52946260047109e-09,6.844896807406435e-10,-2.211063118947009e-09,1.9389849881311512e-09,-3.8659338054178497e-13,4.701632275801966e-13,-1.144089597964745e-12,9.07536200361807e-15,-2.0567964310300646e-13,6.036481953298894e-13,179.42819253992695,3.324018380243332,173.78174593052023,182.36753236814712,180.78174593052026,2.25304832720488,172.79011041015514,3.1513670339347075,167.43694334901085,175.57677930802876,174.07335949179046,2.136023755589349,0.9816761059234688,0.002047653199627618,0.9794520547945206,0.9838107098381071,0.9817208295306238,0.003948452211584241,183.25,0.82915619758885,182,184,183.5,1.25,408.5,2.0615528128088303,407,412,407.5,2.0,240.5,2.0615528128088303,238,243,240.5,3.5,459.0,1.0,458,460,459.0,2.0,211.09497552122082,1.549905478951055,209.5107296137339,213.27299578059072,210.79808834527938,2.506230528164707,433.40982083796297,1.2173255181932028,432.0948813982522,435.3827004219409,433.0808507658293,1.139734401169676,-6.710587571461889,0.6905936665223615,-7.291891389060817,-5.593316994371372,-6.978570951207683,0.8719361973736692,4.488557896729307,0.24661209987443414,4.237721525297438,4.829681726248346,4.443414167685722,0.40760240967395056,-18.197656882397002,0.5993472542074761,-19.226953863167157,-17.729188298166775,-17.91724268412704,0.4022863023503369,-2.427655846093495,0.4203270815744512,-2.880012211122564,-1.7445588082071224,-2.543026182522146,0.38353690496675164,1.0,0.0,1.0,1.0,1.0,0.0,211.09497552122082,1.549905478951055,209.5107296137339,213.27299578059072,210.79808834527938,2.506230528164707,433.40982083796297,1.2173255181932028,432.0948813982522,435.3827004219409,433.0808507658293,1.139734401169676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8532935840694368,0.20168174826774524,0.5108692327872929,1.0,0.9511525517452271,0.19555386418533627,3.053481276931571,1.7878385289108074,0.0,4.32433053599287,3.9447972858667075,1.6195933077455744,12.52011451402962,7.600784848734316,0.0,18.699834584520385,15.690311735799046,8.923589534547752,4.028834857338763,2.5412317678137026,0.0,7.01899809168607,4.5481706688344925,2.1212989236258375,2.3396660305620283,1.5595522533028088,0.4887325342724415,4.303804401698279,2.226461155715364,1.9075359337129183
2,0,3,4,3,0,3,2248.25,91.08889888455124,2111.0,2348.0,2267.0,123.75,2885.25,122.27300397062305,2700.0,3021.0,2910.0,161.25,2287.0,92.06790971885916,2148.0,2385.0,2307.5,127.5,2248.25,91.08889888455124,2111.0,2348.0,2267.0,123.75,56.2517719901727,1.2134164049976819,54.53284918014964,57.786460226876855,56.343889276832144,1.6089563575933141,0.4244706088638963,0.011904996742220737,0.4139604176220901,0.4433997123615238,0.42026115273598563,0.015758596058118746,53.49181575167841,1.0892447104846281,51.844080461861104,54.67692795904102,53.72312729290576,1.4725377314595107,1.0,0.0,1,1,1.0,0.0,0.7792854118111142,0.001670426732712903,0.7772260840781199,0.7818518518518518,0.7790318556572426,0.0016369985385406016,57.56664113510155,1.3534505615033927,55.54277630799526,59.20304046246274,57.7603738849741,1.6487004864199193,0.16012363658817763,0.00010618654766434636,0.1600344305443991,0.16029699406146,0.1600815608734257,0.00012884651051778273,0.000252964791399,3.2536289589591166e-05,0.0002249232374722,0.0003053865080885,0.00024077471001765,4.1405232248049975e-05,8.057153523544969e-06,2.0022479411062216e-06,6.146720032903823e-06,1.1368135933598948e-05,7.356879063838552e-06,2.0111976121384498e-06,3.371416869210577e-08,8.102675442390178e-09,2.601561617477093e-08,4.7328580602068986e-08,3.075623899579159e-08,6.074314783882776e-09,6.807386537526561e-15,5.514790589492007e-15,-1.4705437254224125e-15,1.3994535826860362e-14,7.352777024334147e-15,4.859851518437665e-15,1.0399924837503045e-10,1.593066660473333e-10,-1.6069476020332945e-10,2.5858044396175404e-10,1.5905565487084862e-10,1.4581267025864768e-10,-1.6813440014778885e-14,8.737750082131438e-15,-3.177034093321563e-14,-1.0298885064543652e-14,-1.2592267030678134e-14,7.382613574985735e-15,174.53479425772517,3.7205529725125976,168.85281374238568,178.5096679918781,175.38834764831844,4.974873734152936,168.1508779311474,3.527305400978459,162.7640226147248,171.91929453326784,168.96009728829847,4.716476051088961,0.9830468028708229,0.0009894516851809265,0.9817254568635784,0.9844863731656184,0.9829876907270474,0.0010097539928964894,202.25,2.165063509461097,199,205,202.5,2.25,250.5,1.8027756377319946,248,253,250.5,2.0,258.25,1.299038105676658,256,259,259.0,0.75,302.0,1.5811388300841898,300,304,302.0,2.5,228.98542581767117,1.7652690062521168,226.0924190800681,230.860255802937,229.49451419383976,1.4558083935547188,275.6022447655989,1.5918543412888977,274.0819516816675,277.8151978417266,275.2559147695008,2.6721666584908235,-6.36053149411128,0.5305698511642033,-7.274875436401402,-5.969814707963484,-6.098717916040117,0.34270769853863037,4.074011879138,0.2080969161491395,3.8476230740254542,4.359171020490778,4.044626711017884,0.3371429081854824,-16.047279720047282,1.053722173330278,-17.575119955092557,-14.66456375837942,-15.974717583358576,1.183342816981499,-2.5501360384989873,0.6285992829803143,-3.490745900521275,-1.9450943286442304,-2.382351962415222,0.941030523428759,1.0,0.0,1.0,1.0,1.0,0.0,228.98542581767117,1.7652690062521168,226.0924190800681,230.860255802937,229.49451419383976,1.4558083935547188,275.6022447655989,1.5918543412888977,274.0819516816675,277.8151978417266,275.2559147695008,2.6721666584908235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7580812878694875,0.2419487952959309,0.5107669726649008,1.0,0.7607790894065245,0.481139622723988,2.8706607001218107,1.7988220000301467,0.0,4.767859465325175,3.357391667581034,2.033284547472405,11.476453443016299,8.467582531885837,0.0,22.732483881090857,11.586664945487168,11.33240034474291,4.653704514458303,3.3395755045401376,0.0,9.334705884464514,4.64005608668435,3.4163534186299915,3.1115686281548505,1.1796642259728816,1.4435692633518171,3.9728651661043015,3.9182714550084325,1.2646479513762423
3,0,3,4,3,0,3,2223.75,24.843258642939738,2196.0,2264.0,2217.5,17.75,2868.75,36.79249244071404,2806.0,2898.0,2885.5,31.25,2266.5,26.16772821625905,2240.0,2310.0,2258.0,17.5,2223.75,24.843258642939738,2196.0,2264.0,2217.5,17.75,62.24946525182086,0.7723302290574483,61.62000123563694,63.53614857426111,61.92085559869269,0.8437380178534539,0.6821664203858907,0.011056202660985939,0.6702954330749489,0.6998336819948116,0.6792682832369011,0.012020945368238167,53.20975883174541,0.2966524436263216,52.877538144645285,53.68998350977963,53.13575683627837,0.21209709509051322,1.0,0.0,1,1,1.0,0.0,0.7752600371132099,0.011176556880351695,0.7625,0.7904490377761939,0.774045555338323,0.0177615765400837,63.19737163550691,0.5849943278595917,62.6418390534633,64.13267497929586,63.00748625463423,0.7298094045581891,0.16710266452554004,0.0007453724277795423,0.1663029232882592,0.1683019968230904,0.16690286899540524,0.0007691420532811855,0.002578170497387325,0.00024759910242732843,0.0023217046755497,0.002978997188114,0.0025059900629428,0.0002613284777325752,1.6270403661674016e-06,1.0059065288073452e-06,3.285778070658691e-07,2.6635842483910635e-06,1.7579997046063368e-06,1.7708681592002355e-06,3.9052411009221323e-08,2.4743757642664022e-08,5.704732408457594e-09,7.406225606837511e-08,3.82213277800263e-08,2.8207399296748206e-08,6.572264156333921e-15,1.5640477323650532e-14,-1.0334664726809046e-14,3.1954745657071786e-14,2.3344878475364747e-15,1.431725155126066e-14,8.658141187373444e-10,1.9680490861538107e-09,-1.5679898566693567e-09,3.696578381103412e-09,6.673339752576611e-10,2.6053796193908525e-09,-1.4675683236959607e-15,6.269789354316211e-15,-1.2095742278117011e-14,3.819192580164861e-15,1.203138201584154e-15,5.503933921696252e-15,177.05992052357226,1.042616466442822,176.2670273047588,178.85281374238568,176.55992052357226,0.7218254069479713,170.5448477473223,0.9884623926613013,169.79313783920315,172.24461710441,170.07081802283807,0.6843333975625683,0.981142817361263,0.0009390564327463297,0.98008658008658,0.9822852081488044,0.9810997406048336,0.0016635536370922521,207.25,2.384848003542364,204,210,207.5,3.75,343.0,2.9154759474226504,338,345,344.5,2.5,254.5,1.5,252,256,255.0,1.0,403.75,1.920286436967152,401,406,404.0,2.75,230.44310447663136,1.7601774842345095,227.73360655737704,232.42741208295763,230.8056996330954,2.1519602356390237,372.7489349051575,2.1225813036458576,369.1629858657244,374.4229035166817,373.70492511911186,2.088875887076995,-5.792140677589525,0.23555107393099353,-6.16972517398521,-5.53359055379915,-5.732623491286871,0.2372239831177172,4.261238685818094,0.0963637622522633,4.132475472115818,4.39945060408013,4.256514333538215,0.10666689857112122,-17.54665273871783,0.47761304456633263,-18.296918923752425,-17.1151498211579,-17.3872711049805,0.6512898189704259,-1.8892512838520308,0.5269754357814709,-2.715413826789855,-1.2509544936655983,-1.7953184074763349,0.42609916958708927,1.0,0.0,1.0,1.0,1.0,0.0,230.44310447663136,1.7601774842345095,227.73360655737704,232.42741208295763,230.8056996330954,2.1519602356390237,372.7489349051575,2.1225813036458576,369.1629858657244,374.4229035166817,373.70492511911186,2.088875887076995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8413825924203548,0.22100419041557579,0.4651261709026898,1.0,0.9502020993893647,0.20841530819028042,3.158473811411087,2.0898006933954276,0.0,5.348496809598968,3.64269921802269,2.9203035756537505,14.343223755485692,11.482852162480448,0.0,28.606418122290343,14.383238449826212,18.685697060456647,4.82602388730133,4.271564854983006,0.0,11.499023585834609,3.9025359816853555,4.847690415206658,3.833007861944875,1.7312221842778885,2.587246302519993,6.281197924983931,2.6305793583307016,1.8469758112319692
4,0,3,4,3,0,3,2362.0,58.94488951554664,2299.0,2457.0,2346.0,60.5,3006.25,82.26899476716608,2907.0,3132.0,2993.0,90.75,2405.75,62.33528294633786,2343.0,2507.0,2386.5,67.25,2362.0,58.94488951554664,2299.0,2457.0,2346.0,60.5,57.83136938831731,0.6620869625940116,57.13748666064939,58.891503060529246,57.64824391604532,0.7403920299627416,0.436605078500813,0.016540455763343585,0.4152331187072585,0.4609246610721604,0.4351312671119165,0.018280339109029542,54.835458841926005,0.6813649975552655,54.10339835302528,55.93165080179821,54.65339310644026,0.7016776632730242,1.0,0.0,1,1,1.0,0.0,0.7857527464271885,0.0031039169009856224,0.7824933687002652,0.7908496732026143,0.7848339719029374,0.0026158960489589544,59.03149921529207,0.8843644016873261,57.982756057296896,60.41522986797286,58.86400546794926,0.8629431096177456,0.16012294205379507,0.00016593646050094642,0.1599081062495193,0.1603737760670258,0.1601049429493176,0.00013814352340335567,0.000287996944710325,4.9427970551763164e-05,0.0002275911735074,0.0003633045550681,0.0002805460251329,5.352535353402504e-05,2.3713689056213758e-06,1.5506510921376518e-06,5.822739704665704e-07,4.344254599888742e-06,2.279473526065095e-06,2.6202430403292055e-06,8.496518164502646e-09,5.18394097098419e-09,3.2382546707424227e-09,1.5753283952109012e-08,7.497267017579573e-09,8.451748376672049e-09,7.00500892187354e-16,1.9069124753200693e-15,-1.1540323268389059e-15,3.895349865578763e-15,3.034301500477918e-17,1.2900888616265584e-15,6.318147724885999e-11,1.4131623396950125e-10,-8.022190465815982e-11,2.9791759779630456e-10,1.75151079286476e-11,1.0162633303862624e-10,-8.866862233431124e-16,7.076700492735131e-16,-1.802663114803818e-15,-1.3186068557152414e-16,-8.061105464985536e-16,1.2264687379359924e-15,179.62058069535206,2.500735823000992,177.4386001800126,183.68124086713192,178.68124086713186,3.0606601717798583,172.97250581877552,2.3708462263701557,170.90385857374275,176.82225306368156,172.08195581883894,2.9016877959374767,0.9818388169764507,0.001584842420720647,0.9800558436378142,0.984381595609962,0.9814589143290133,0.001438823571064396,253.25,1.479019945774904,251,255,253.5,1.75,286.5,1.5,284,288,287.0,1.0,306.0,2.5495097567963922,302,309,306.5,2.5,343.5,2.692582403567252,339,346,344.5,2.5,279.0348407366525,1.637531952847279,276.45324053936497,280.997557997558,279.34428220484347,1.2768594471136794,314.419503197189,2.028259821965822,310.97341337907375,316.11599511599513,315.2943021468435,1.7244888241345961,-6.593935854156376,0.42985236271400445,-7.246372998104764,-6.056101450073368,-6.536634484223686,0.4382213757703983,4.250986980226989,0.12591511501019798,4.08108794433303,4.427038558623175,4.247910708975875,0.14959200651388915,-17.11470209180569,0.44440968532509034,-17.673799877335263,-16.514521953616573,-17.13524326813546,0.651611056907754,-2.711303548873637,0.5026047451634897,-3.24721275725474,-1.8920585803707777,-2.8529714289345147,0.4547141153052272,1.0,0.0,1.0,1.0,1.0,0.0,279.0348407366525,1.637531952847279,276.45324053936497,280.997557997558,279.34428220484347,1.2768594471136794,314.419503197189,2.028259821965822,310.97341337907375,316.11599511599513,315.2943021468435,1.7244888241345961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7868177067157024,0.21324734724608516,0.5661867977828213,1.0,0.7905420145399942,0.4226402787443033,3.7381952410547257,2.1779022926724245,0.0,5.431262035322791,4.760759464448055,1.5730526348024885,18.717362056672002,11.200437252680599,0.0,29.49860729633867,22.685420465174666,9.42403619322628,5.610727542629465,3.6499587694794218,0.0,9.59270342683992,6.425103371838969,4.679454591824559,3.19756780894664,1.3344291865444171,1.6467475649245649,4.904250881762583,3.0417049801527725,1.628751658419009
5,0,3,4,3,0,3,2449.25,47.5519452809241,2371.0,2499.0,2463.5,38.75,3087.75,44.589096200752934,3024.0,3132.0,3097.5,71.25,2488.5,47.85655649960619,2409.0,2537.0,2504.0,35.0,2449.25,47.5519452809241,2371.0,2499.0,2463.5,38.75,59.98619325913846,0.9910851454856515,58.281357327529584,60.738461525830935,60.462477091596675,0.6717221869443506,0.494497241734278,0.02321001116687186,0.4550182057861981,0.5146697513304355,0.5041505049102393,0.016726296054926038,55.84071728039538,0.5442871976718531,54.94407120488134,56.40767343449978,56.005562241100215,0.44262835535050726,1.0,0.0,1,1,1.0,0.0,0.7931809045632405,0.007333457183899617,0.7840608465608465,0.8014993481095176,0.793581711791299,0.012739855909365327,60.94379323838183,1.0507453151765513,59.16924876994806,61.91122676865643,61.347348707461414,0.7649600365374809,0.16111606707608903,0.0003436606328687205,0.1605380559853459,0.1614253116349997,0.16125045034200525,0.00030774558441468147,0.000513310485738225,0.00010069742722487364,0.0003436613181658,0.0006072972182129,0.0005511417032871,7.558016130032499e-05,2.5636632432976702e-05,3.7213175876581046e-06,2.149347537573509e-05,3.021488032023456e-05,2.541908701796858e-05,6.575640759803598e-06,1.6507724867761536e-07,4.0910334641733066e-08,1.0169188990687094e-07,2.1558571084060883e-07,1.7151569698149085e-07,3.542108154337022e-08,3.043159977912991e-13,1.2978399721630166e-13,1.3943006309431246e-13,4.63343073862961e-13,3.072454271039614e-13,2.103674833737109e-13,3.3906856038219643e-09,1.1069743760296508e-09,1.8021052739084163e-09,4.653800525228966e-09,3.553418308075237e-09,1.6188781420237144e-09,1.493558152040488e-13,1.1640398846763695e-13,9.827273751561327e-15,2.967504940624747e-13,1.454227465010796e-13,1.9254931435503298e-13,182.47413408594537,1.996633174298537,179.09545442950497,184.2670273047588,183.2670273047588,1.5502525316941558,175.67784407386364,1.8929269470177323,172.47465490053764,177.37761343095133,176.4295539819828,1.4697315609600423,0.9842244101623199,0.0008660437793295341,0.9828137490007992,0.9850216791486008,0.9845311062499399,0.0010099121484730134,252.0,2.5495097567963922,249,256,251.5,2.5,189.25,2.48746859276655,187,193,188.5,3.75,305.25,2.7726341266023544,303,310,304.0,1.75,247.25,1.7853571071357126,245,249,247.5,3.25,278.97518823438804,2.342369809729058,276.47204213938414,282.8182201602699,278.305245318949,1.7142804308238624,217.53813753820495,2.2457971370644167,215.11345218800648,220.626739772248,217.20617909628265,3.6371703724171596,-6.01780831114617,0.46759604529701104,-6.803984436091038,-5.625916212404084,-5.820666298044777,0.462898263470362,4.2278133015031605,0.32026491382849814,3.890979465199979,4.573462685242519,4.223405527785072,0.6172444806029853,-17.411322966971866,1.48964825597638,-19.17696911670857,-15.772797586351892,-17.3477625824135,2.708214960283115,-1.5978901835361623,1.0140214360256499,-2.698325108662831,-0.0079270748602656,-1.8426542753107769,1.2073650323256497,1.0,0.0,1.0,1.0,1.0,0.0,278.97518823438804,2.342369809729058,276.47204213938414,282.8182201602699,278.305245318949,1.7142804308238624,217.53813753820495,2.2457971370644167,215.11345218800648,220.626739772248,217.20617909628265,3.6371703724171596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9318792874072119,0.06818782220932403,0.8594812827970018,1.0,0.9340179334159231,0.13410277917686497,4.992380415502037,3.1487770700339377,0.0,8.406563831871205,5.7814789150684724,3.5377782183020754,34.83865924985981,26.188031366395016,0.0,70.67031545932508,34.34216077005708,34.273573444364885,5.587324759857848,3.662848177856317,0.0,9.684581194269596,6.332358922580899,4.683602570170312,3.2281937314232,1.2258002740251734,1.8439174239534133,4.824054074845635,3.016609695470551,1.4900683254461105
6,0,3,4,3,0,3,2245.25,46.96474741761101,2180.0,2311.0,2245.0,49.25,2844.0,79.07907434966599,2714.0,2928.0,2867.0,53.5,2286.0,44.91658936295141,2222.0,2348.0,2287.0,43.5,2245.25,46.96474741761101,2180.0,2311.0,2245.0,49.25,61.59585980851217,0.6085015316528053,60.61248347345303,62.26568057555349,61.75263759252107,0.5485034239324165,0.6563820970800507,0.004809877251081817,0.6501436617573176,0.6625308926135509,0.656426916974667,0.007314168785058084,53.464271842766095,0.5592174348431188,52.68455378498194,54.24441526906674,53.464059158507865,0.5864380371336324,1.0,0.0,1,1,1.0,0.0,0.7896538420816521,0.008681820332103931,0.7792117195674921,0.8032424465733236,0.7880806010928962,0.00780071453834319,62.48000599535639,0.4988494965703018,61.68468205316454,63.06346010171025,62.5859409132754,0.344694512136428,0.16574075142059763,0.0002488582576983201,0.1653847624033854,0.1660568225948847,0.1657607103420602,0.00031912039404999315,0.002072406180400375,8.350545056047335e-05,0.0019642304221429,0.0021802323876867,0.00207258095588595,0.00012565665749502504,1.8346876505160902e-05,3.5235057061531423e-06,1.5104889811451162e-05,2.4126744090138625e-05,1.7077936059526914e-05,3.940078808598325e-06,3.226234831582253e-07,5.3030761991866926e-08,2.8037803290475584e-07,4.107473496238482e-07,2.9968427505214863e-07,5.95535184674223e-08,-4.2230457462968097e-13,3.3361990017417457e-13,-9.645693462726163e-13,-1.0689952705006157e-13,-3.0887471259802304e-13,3.8526230996587023e-13,-8.006867223856992e-09,4.148547906378376e-09,-1.4192275531542641e-08,-3.3535706742218636e-09,-7.240811344831733e-09,5.663509295127292e-09,6.569832700595466e-13,1.223787499413398e-13,5.430570000858441e-13,8.611358667517832e-13,6.118701067002795e-13,1.159292776594521e-13,177.02438661763952,1.6389910008951278,174.36753236814715,178.8528137423857,177.4386001800126,1.1213203435596313,170.51115949204404,1.5538609051730037,167.99230371628062,172.24461710441,170.90385857374275,1.0630783470323308,0.9821502628380422,0.0015659769339849078,0.9802544975866608,0.9842419080068144,0.9820523228793467,0.002428172207586732,180.0,2.23606797749979,177,183,180.0,3.0,117.5,2.0615528128088303,115,120,117.5,3.5,240.5,2.958039891549808,236,244,241.0,3.5,164.5,1.6583123951777,162,166,165.0,2.5,209.36155767307594,2.4742941328313317,205.92247706422015,212.54262224145396,209.4905656933148,3.3350337704508775,140.2550402740854,1.7075464703332313,137.88585496866608,142.01422018348623,140.5600429720946,2.7970800370524955,-5.518321828632598,0.2443004021446112,-5.820386535116423,-5.187859316556576,-5.532520731428697,0.364563005443296,4.021918219792873,0.2696640036505452,3.58234698239782,4.314943637421625,4.0951911296760235,0.21751999846937897,-16.62071615354145,1.0618053089052517,-17.795299636992706,-14.934318757691988,-16.876623109740553,1.133046759676784,-1.7284379574718753,0.2961141224533104,-2.183232086271513,-1.354559512494134,-1.687980115560927,0.2378692431856153,1.0,0.0,1.0,1.0,1.0,0.0,209.36155767307594,2.4742941328313317,205.92247706422015,212.54262224145396,209.4905656933148,3.3350337704508775,140.2550402740854,1.7075464703332313,137.88585496866608,142.01422018348623,140.5600429720946,2.7970800370524955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9159239007488016,0.09793381821433088,0.7608232665151023,1.0,0.9514361682400521,0.13263993101114624,3.9585575807858016,2.879176561373309,0.0,7.123736530596335,4.355246896273435,4.618149528052882,23.959835791958167,21.439188037782397,0.0,50.74762215735271,22.54586050523998,37.40045262912138,4.686422029678189,3.6659960064981836,0.0,9.36319490231432,4.691246608199219,5.682013688871054,3.121064967438119,0.9432343780160986,2.444471651920141,4.454953284389981,2.4637699660042354,1.0052408162349193
